"Polygenic Score ID & Name","PGS Publication ID (PGP)","Reported Trait","Mapped Trait(s) (Ontology)","Number of Variants","Ancestry distribution","Scoring File (FTP Link)"
PGS000110(rbc),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Red blood cell count","erythrocyte count",707,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000110/ScoringFiles/PGS000110.txt.gz
PGS000111(ret),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Reticulocyte count","reticulocyte count",590,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000111/ScoringFiles/PGS000111.txt.gz
PGS000112(ret_p),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","Reticulocyte fraction of red cells","reticulocyte count",572,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000112/ScoringFiles/PGS000112.txt.gz
PGS000113(wbc),"PGP000051|Xu Y et al. bioRxiv (2020)|Pre","White blood cell count","leukocyte count",659,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000113/ScoringFiles/PGS000113.txt.gz
PGS000114(GRS-JIA-20),"PGP000052|Cánovas R et al. Ann Rheum Dis (2020)","Juvenile Idiopathic Arthritis","juvenile idiopathic arthritis",26,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000114/ScoringFiles/PGS000114.txt.gz
PGS000115(LDL-C_20),"PGP000053|Trinder M et al. JAMA Cardiol (2020)","low density lipoprotein cholesterol","low density lipoprotein cholesterol measurement",223,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000115/ScoringFiles/PGS000115.txt.gz
PGS000116(CAD_EJ2020),"PGP000054|Elliott J et al. JAMA (2020)","Coronary Artery Disease","coronary artery disease","40,079",GDE,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000116/ScoringFiles/PGS000116.txt.gz  - Check Terms/Licenses"
PGS000117(CVD_EJ2020),"PGP000054|Elliott J et al. JAMA (2020)","Cardiovascular Disease","cardiovascular disease","297,862",GDE,"https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000117/ScoringFiles/PGS000117.txt.gz  - Check Terms/Licenses"
PGS000118(MEL29),"PGP000055|Fritsche LG et al. PLoS Genet (2019)",Melanoma,melanoma,29,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000118/ScoringFiles/PGS000118.txt.gz
PGS000119(BCC32),"PGP000055|Fritsche LG et al. PLoS Genet (2019)","Basal cell carcinoma","basal cell carcinoma",32,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000119/ScoringFiles/PGS000119.txt.gz
PGS000120(SCC10),"PGP000055|Fritsche LG et al. PLoS Genet (2019)","Squamous cell carcinoma","squamous cell carcinoma",10,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000120/ScoringFiles/PGS000120.txt.gz
PGS000121(2018_BMD62_GRS.FN),"PGP000056|Ho-Le TP et al. J Bone Miner Res (2016)","Bone mineral density (BMD)","bone density",62,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000121/ScoringFiles/PGS000121.txt.gz
PGS000122(2018_BMD33_GRS.FN),"PGP000056|Ho-Le TP et al. J Bone Miner Res (2016)","Bone mineral density (BMD)","bone density",33,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000122/ScoringFiles/PGS000122.txt.gz
PGS000123(2017_PD16),"PGP000059|Ibanez L et al. BMC Neurol (2017)","Parkinson disease","Parkinson's disease",16,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000123/ScoringFiles/PGS000123.txt.gz
PGS000124(IOP_AS),"PGP000061|MacGregor S et al. Nat Genet (2018)","Intraocular pressure","intraocular pressure measurement",103,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000124/ScoringFiles/PGS000124.txt.gz
PGS000125(Qi_T2D_2017),"PGP000062|Qi Q et al. Diabetes (2017)","Type 2 Diabetes","type II diabetes mellitus",80,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000125/ScoringFiles/PGS000125.txt.gz
PGS000126(Urate_GRS),"PGP000063|Tin A et al. Nat Genet (2019)","Serum urate","urate measurement",114,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000126/ScoringFiles/PGS000126.txt.gz
PGS000127(GS-E-EUR),"PGP000064|Wheeler E et al. PLoS Med (2017)","Hemoglobin A1c","HbA1c measurement",21,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000127/ScoringFiles/PGS000127.txt.gz
PGS000128(GS-E-AFR),"PGP000064|Wheeler E et al. PLoS Med (2017)","Hemoglobin A1c","HbA1c measurement",22,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000128/ScoringFiles/PGS000128.txt.gz
PGS000129(GS-E-EAS),"PGP000064|Wheeler E et al. PLoS Med (2017)","Hemoglobin A1c","HbA1c measurement",17,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000129/ScoringFiles/PGS000129.txt.gz
PGS000130(GS-G-EUR),"PGP000064|Wheeler E et al. PLoS Med (2017)","Hemoglobin A1c","HbA1c measurement",19,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000130/ScoringFiles/PGS000130.txt.gz
PGS000131(GS-G-AFR),"PGP000064|Wheeler E et al. PLoS Med (2017)","Hemoglobin A1c","HbA1c measurement",19,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000131/ScoringFiles/PGS000131.txt.gz
PGS000132(GS-G-EAS),"PGP000064|Wheeler E et al. PLoS Med (2017)","Hemoglobin A1c","HbA1c measurement",19,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000132/ScoringFiles/PGS000132.txt.gz
PGS000133(SCZ_BVU),"PGP000065|Zheutlin AB et al. Am J Psychiatry (2019)",Schizophrenia,schizophrenia,"604,645",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000133/ScoringFiles/PGS000133.txt.gz
PGS000134(SCZ_GHS),"PGP000065|Zheutlin AB et al. Am J Psychiatry (2019)",Schizophrenia,schizophrenia,"830,589",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000134/ScoringFiles/PGS000134.txt.gz
PGS000135(SCZ_MTS),"PGP000065|Zheutlin AB et al. Am J Psychiatry (2019)",Schizophrenia,schizophrenia,"972,439",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000135/ScoringFiles/PGS000135.txt.gz
PGS000136(SCZ_PBK),"PGP000065|Zheutlin AB et al. Am J Psychiatry (2019)",Schizophrenia,schizophrenia,"833,502",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000136/ScoringFiles/PGS000136.txt.gz
PGS000137(MTAG_glaucoma),"PGP000066|Craig JE et al. Nat Genet (2020)",Glaucoma,glaucoma,"2,673",GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000137/ScoringFiles/PGS000137.txt.gz
PGS000138(LifetimeMDD),"PGP000068|Cai N et al. Nat Genet (2020)","Lifetime Major Depressive Disorder","major depressive disorder","22,274",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000138/ScoringFiles/PGS000138.txt.gz
PGS000139(MDDRecur),"PGP000068|Cai N et al. Nat Genet (2020)","Lifetime Major Depressive Disorder (with recurrence)","recurrent,<br>major depressive disorder","21,980",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000139/ScoringFiles/PGS000139.txt.gz
PGS000140(GPpsy),"PGP000068|Cai N et al. Nat Genet (2020)","Broad Depression (seen a General Practitioner for nerves, anxiety, tension or depression)","seeing a general practitioner for nerves, anxiety, tension or depression, self-reported,<br>depressive disorder","24,665",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000140/ScoringFiles/PGS000140.txt.gz
PGS000141(Psypsy),"PGP000068|Cai N et al. Nat Genet (2020)","Seen a psychiatrist for nerves, anxiety, tension or depression","seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported,<br>depressive disorder","22,728",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000141/ScoringFiles/PGS000141.txt.gz
PGS000142(DepAll),"PGP000068|Cai N et al. Nat Genet (2020)","Probable Depression (low mood or anhedonia, and seen a GP or psychiatrist for nerves, anxiety, tension or depression)","seeing a general practitioner for nerves, anxiety, tension or depression, self-reported,<br>seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported,<br>depressive disorder","21,908",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000142/ScoringFiles/PGS000142.txt.gz
PGS000143(GPNoDep),"PGP000068|Cai N et al. Nat Genet (2020)","Seen a General Practitioner for nerves, anxiety, tension or depression (without report of low mood or anhedonia)","seeing a general practitioner for nerves, anxiety, tension or depression, self-reported","21,042",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000143/ScoringFiles/PGS000143.txt.gz
PGS000144(SelfRepDep),"PGP000068|Cai N et al. Nat Genet (2020)","Self-reported depression or depression symptoms","depressive symptom measurement,<br>self-reported trait","21,828",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000144/ScoringFiles/PGS000144.txt.gz
PGS000145(ICD10Dep),"PGP000068|Cai N et al. Nat Genet (2020)","Depression (ICD-10 defined)","major depressive disorder","21,510",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000145/ScoringFiles/PGS000145.txt.gz
PGS000146(CRC_GRS_27),"PGP000069|Hsu L et al. Gastroenterology (2015)","Colorectal cancer risk","colorectal cancer",27,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000146/ScoringFiles/PGS000146.txt.gz
PGS000147(CRC21),"PGP000070|Ibáñez-Sanz G et al. Sci Rep (2017)","Colorectal cancer","colorectal cancer",21,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000147/ScoringFiles/PGS000147.txt.gz
PGS000148(CRC63),"PGP000071|Jeon J et al. Gastroenterology (2018)","Colorectal cancer","colorectal cancer",63,GDE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000148/ScoringFiles/PGS000148.txt.gz
PGS000149(CRC41),"PGP000072|Smith T et al. Br J Cancer (2018)","Colorectal cancer","colorectal cancer",41,'--E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000149/ScoringFiles/PGS000149.txt.gz
PGS000150(GRS48),"PGP000073|Weigl K et al. Gastroenterology (2018)","Colorectal cancer","colorectal cancer",48,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000150/ScoringFiles/PGS000150.txt.gz
PGS000151(SC_GRS),"PGP000074|Xin J et al. Gene (2018)","Colorectal cancer","colorectal cancer",14,'--E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000151/ScoringFiles/PGS000151.txt.gz
PGS000152(cGRS_Bladder),"PGP000075|Shi Z et al. Cancer Med (2019)","Bladder cancer","bladder carcinoma",10,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000152/ScoringFiles/PGS000152.txt.gz
PGS000153(cGRS_Breast),"PGP000075|Shi Z et al. Cancer Med (2019)","Breast cancer","breast carcinoma",66,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000153/ScoringFiles/PGS000153.txt.gz
PGS000154(cGRS_Colorectal),"PGP000075|Shi Z et al. Cancer Med (2019)","Colorectal cancer","colorectal cancer",30,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000154/ScoringFiles/PGS000154.txt.gz
PGS000155(cGRS_Glioma),"PGP000075|Shi Z et al. Cancer Med (2019)",Glioma,glioma,19,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000155/ScoringFiles/PGS000155.txt.gz
PGS000156(cGRS_Lung),"PGP000075|Shi Z et al. Cancer Med (2019)","Lung cancer","lung carcinoma",6,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000156/ScoringFiles/PGS000156.txt.gz
PGS000157(cGRS_Melanoma),"PGP000075|Shi Z et al. Cancer Med (2019)",Melanoma,melanoma,17,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000157/ScoringFiles/PGS000157.txt.gz
PGS000158(cGRS_Ovarian),"PGP000075|Shi Z et al. Cancer Med (2019)","Ovarian cancer","ovarian carcinoma",11,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000158/ScoringFiles/PGS000158.txt.gz
PGS000159(cGRS_Pancreatic),"PGP000075|Shi Z et al. Cancer Med (2019)","Pancreatic cancer","pancreatic carcinoma",9,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000159/ScoringFiles/PGS000159.txt.gz
PGS000160(cGRS_Prostate),"PGP000075|Shi Z et al. Cancer Med (2019)","Prostate cancer","prostate carcinoma",79,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000160/ScoringFiles/PGS000160.txt.gz
PGS000161(cGRS_Renal),"PGP000075|Shi Z et al. Cancer Med (2019)","Renal cancer","renal carcinoma",10,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000161/ScoringFiles/PGS000161.txt.gz
PGS000162(cGRS_Thyroid),"PGP000075|Shi Z et al. Cancer Med (2019)","Thyroid cancer","thyroid carcinoma",6,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000162/ScoringFiles/PGS000162.txt.gz
PGS000163(baso),"PGP000078|Vuckovic D et al. Cell (2020)","Basophil count","basophil count",185,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000163/ScoringFiles/PGS000163.txt.gz
PGS000164(baso_p),"PGP000078|Vuckovic D et al. Cell (2020)","Basophil percentage of white cells","basophil percentage of leukocytes",150,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000164/ScoringFiles/PGS000164.txt.gz
PGS000165(eo),"PGP000078|Vuckovic D et al. Cell (2020)","Eosinophil count","eosinophil count",607,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000165/ScoringFiles/PGS000165.txt.gz
PGS000166(eo_p),"PGP000078|Vuckovic D et al. Cell (2020)","Eosinophil percentage of white cells","eosinophil percentage of leukocytes",571,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000166/ScoringFiles/PGS000166.txt.gz
PGS000167(hct),"PGP000078|Vuckovic D et al. Cell (2020)",Hematocrit,hematocrit,502,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000167/ScoringFiles/PGS000167.txt.gz
PGS000168(hgb),"PGP000078|Vuckovic D et al. Cell (2020)","Hemoglobin concentration","hemoglobin measurement",515,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000168/ScoringFiles/PGS000168.txt.gz
PGS000169(hlr),"PGP000078|Vuckovic D et al. Cell (2020)","High light scatter reticulocyte count","reticulocyte count",570,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000169/ScoringFiles/PGS000169.txt.gz
PGS000170(hlr_p),"PGP000078|Vuckovic D et al. Cell (2020)","High light scatter reticulocyte percentage of red cells","reticulocyte count",566,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000170/ScoringFiles/PGS000170.txt.gz
PGS000171(irf),"PGP000078|Vuckovic D et al. Cell (2020)","Immature fraction of reticulocytes","reticulocyte count",372,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000171/ScoringFiles/PGS000171.txt.gz
PGS000172(lymph),"PGP000078|Vuckovic D et al. Cell (2020)","Lymphocyte count","lymphocyte count",621,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000172/ScoringFiles/PGS000172.txt.gz
PGS000173(lymph_p),"PGP000078|Vuckovic D et al. Cell (2020)","Lymphocyte percentage of white cells","lymphocyte percentage of leukocytes",472,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000173/ScoringFiles/PGS000173.txt.gz
PGS000174(mch),"PGP000078|Vuckovic D et al. Cell (2020)","Mean corpuscular hemoglobin","mean corpuscular hemoglobin",628,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000174/ScoringFiles/PGS000174.txt.gz
PGS000175(mchc),"PGP000078|Vuckovic D et al. Cell (2020)","Mean corpuscular hemoglobin concentration","mean corpuscular hemoglobin concentration",224,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000175/ScoringFiles/PGS000175.txt.gz
PGS000176(mcv),"PGP000078|Vuckovic D et al. Cell (2020)","Mean corpuscular volume","mean corpuscular volume",685,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000176/ScoringFiles/PGS000176.txt.gz
PGS000177(mono),"PGP000078|Vuckovic D et al. Cell (2020)","Monocyte count","monocyte count",638,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000177/ScoringFiles/PGS000177.txt.gz
PGS000178(mono_p),"PGP000078|Vuckovic D et al. Cell (2020)","Monocyte percentage of white cells","monocyte percentage of leukocytes",549,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000178/ScoringFiles/PGS000178.txt.gz
PGS000179(mpv),"PGP000078|Vuckovic D et al. Cell (2020)","Mean platelet volume","mean platelet volume",654,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000179/ScoringFiles/PGS000179.txt.gz
PGS000180(mrv),"PGP000078|Vuckovic D et al. Cell (2020)","Mean reticulocyte volume","mean reticulocyte volume",629,G--,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000180/ScoringFiles/PGS000180.txt.gz
PGS000181(mscv),"PGP000078|Vuckovic D et al. Cell (2020)","Mean sphered corpuscular volume","mean corpuscular volume",761,G--,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000181/ScoringFiles/PGS000181.txt.gz
PGS000182(neut),"PGP000078|Vuckovic D et al. Cell (2020)","Neutrophil count","neutrophil count",492,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000182/ScoringFiles/PGS000182.txt.gz
PGS000183(neut_p),"PGP000078|Vuckovic D et al. Cell (2020)","Neutrophil percentage of white cells","neutrophil percentage of leukocytes",437,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000183/ScoringFiles/PGS000183.txt.gz
PGS000184(pct),"PGP000078|Vuckovic D et al. Cell (2020)",Plateletcrit,"platelet crit",700,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000184/ScoringFiles/PGS000184.txt.gz
PGS000185(pdw),"PGP000078|Vuckovic D et al. Cell (2020)","Platelet distribution width","platelet component distribution width",555,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000185/ScoringFiles/PGS000185.txt.gz
PGS000186(plt),"PGP000078|Vuckovic D et al. Cell (2020)","Platelet count","platelet count",739,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000186/ScoringFiles/PGS000186.txt.gz
PGS000187(rbc),"PGP000078|Vuckovic D et al. Cell (2020)","Red blood cell count","erythrocyte count",678,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000187/ScoringFiles/PGS000187.txt.gz
PGS000188(rdw),"PGP000078|Vuckovic D et al. Cell (2020)","Red cell distribution width","red blood cell distribution width",546,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000188/ScoringFiles/PGS000188.txt.gz
PGS000189(ret),"PGP000078|Vuckovic D et al. Cell (2020)","Reticulocyte count","reticulocyte count",555,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000189/ScoringFiles/PGS000189.txt.gz
PGS000190(ret_p),"PGP000078|Vuckovic D et al. Cell (2020)","Reticulocyte fraction of red cells","reticulocyte count",537,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000190/ScoringFiles/PGS000190.txt.gz
PGS000191(wbc),"PGP000078|Vuckovic D et al. Cell (2020)","White blood cell count","leukocyte count",636,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000191/ScoringFiles/PGS000191.txt.gz
PGS000192(GS9),"PGP000079|Kathiresan S et al. N Engl J Med (2008)",Cholesterol,"low density lipoprotein cholesterol measurement,<br>high density lipoprotein cholesterol measurement",9,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000192/ScoringFiles/PGS000192.txt.gz
PGS000193(MDD_0.001_Coleman_2020),"PGS000080|Coleman JRI et al. Mol Psychiatry (2020)","Major depression","major depressive disorder","1,138",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000193/ScoringFiles/PGS000193.txt.gz
PGS000194(G-PROB_Rapos),"PGP000081|Knevel R et al. Sci Transl Med (2020)","Rheumatoid Arthritis (CCP-positive)","ACPA-positive rheumatoid arthritis",250,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000194/ScoringFiles/PGS000194.txt.gz
PGS000195(G-PROB_Raneg),"PGP000081|Knevel R et al. Sci Transl Med (2020)","Rheumatoid Arthritis (CCP-negative)","ACPA-negative rheumatoid arthritis",250,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000195/ScoringFiles/PGS000195.txt.gz
PGS000196(G-PROB_SLE),"PGP000081|Knevel R et al. Sci Transl Med (2020)","Systemic lupus eythematosus","systemic lupus erythematosus",250,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000196/ScoringFiles/PGS000196.txt.gz
PGS000197(G-PROB_SpA),"PGP000081|Knevel R et al. Sci Transl Med (2020)",Spondyloarthroparthy,spondyloarthropathy,250,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000197/ScoringFiles/PGS000197.txt.gz
PGS000198(G-PROB_PsA),"PGP000081|Knevel R et al. Sci Transl Med (2020)","Psoriatic arthritis","psoriatic arthritis",250,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000198/ScoringFiles/PGS000198.txt.gz
PGS000199(G-PROB_Gout),"PGP000081|Knevel R et al. Sci Transl Med (2020)",Gout,gout,250,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000199/ScoringFiles/PGS000199.txt.gz
PGS000200(GRS28),"PGP000082|Tikkanen E et al. Arterioscler Thromb Vasc Biol (2013)","Coronary heart disease","coronary artery disease",28,G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000200/ScoringFiles/PGS000200.txt.gz
PGS000201(PROB_ALC_COGA),"PGP000084|Barr PB et al. Transl Psychiatry (2020)","Problematic Alcohol Use","alcohol dependence measurement","1,094,954",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000201/ScoringFiles/PGS000201.txt.gz
PGS000202(PROB_ALC_FT12),"PGP000084|Barr PB et al. Transl Psychiatry (2020)","Problematic Alcohol Use","alcohol dependence measurement","1,083,002",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000202/ScoringFiles/PGS000202.txt.gz
PGS000203(GSCAN_DPW_COGA),"PGP000084|Barr PB et al. Transl Psychiatry (2020)","Alcohol consumption (drinks per week)","alcohol consumption measurement","1,110,910",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000203/ScoringFiles/PGS000203.txt.gz
PGS000204(GSCAN_DPW_FT12),"PGP000084|Barr PB et al. Transl Psychiatry (2020)","Alcohol consumption (drinks per week)","alcohol consumption measurement","1,099,480",G-E,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000204/ScoringFiles/PGS000204.txt.gz
